,question,contexts,ground_truth,evolution_type,metadata,episode_done
0,How has Arnold Schwarzenegger achieved success as a movie star over the last 20 years?,"['Arnold Schwarzenegger’s success as a movie star, politician, and\nbusinessman over the last 20 years.\nIf you have at any point in your life lived a relatively structured\nexistence — probably due to some kind of job with regular oZce\nhours, meetings, and the like — you will know that there is noth-\ning more liberating than looking at your calendar and seeing\nnothing but free time for weeks ahead to work on the most\nimportant things in whatever order you want.\nThis also gives you the best odds of maximizing Yow, which is a\nwhole ‘nother topic but highly related.\n128\nThe Pmarca Blog Archives']",The answer to given question is not present in context,simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 132, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
1,What types of undergraduate degrees are considered useful in the real world if they have a technical element?,"['workforce in a high-impact way when you graduate, and you’ll\nhave to go get a useful graduate degree.\nAnd even if you are already planning to get a useful graduate\ndegree, you are much better oW combining it with a substantive\nundergraduate degree — thereby becoming a “double threat”.\nMore on this in a bit.\nWhich undergraduate degrees are useful in\nthe real world?\nTypically, those that have a technical element of some form —\nthat teach you how to do something substantive.\nEngineering degrees obviously qualify. The current myth that\nengineering and computer science degrees are less useful']",Undergraduate degrees that are considered useful in the real world typically have a technical element that teaches practical skills. Engineering degrees are a prime example of such degrees.,simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 112, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
2,How does the tendency to avoid inconsistency contribute to the persistence of bad habits in individuals?,"['Five: Inconsistency-Avoidance Tendency\n[People are] reluctant to change, which is a form of inconsistency\navoidance. We see this in all human habits, constructive and\ndestructive. Few people can list a lot of bad habits that they have\neliminated, and some people cannot identify even one of these.\nInstead, practically every one has a great many bad habits he has\nlong maintained despite their being known as bad. Given this sit-\nuation, it is not too much in many cases to appraise early-formed\nhabits as destiny. When Marley’s miserable ghost says, “I wear the']","The tendency to avoid inconsistency contributes to the persistence of bad habits in individuals by making them reluctant to change. This reluctance to change is a form of inconsistency avoidance, where people find it challenging to eliminate bad habits even when they are aware of them. Instead, many individuals continue to maintain these bad habits over time, often considering them as destiny. This phenomenon is observed in both constructive and destructive habits, highlighting the powerful influence of inconsistency avoidance on behavior.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 155, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
3,How has the presence of a billion people online impacted traditional forms of media consumption?,"['billion people online now. That is a very large market — a lot\nof people, spending a lot of time, buying a lot of things, in\ntotally new ways at the same time as they are abandoning older\nservices like newspapers, magazines, television, movie theaters,\nand print catalogs.\nSo, my view is that to call a bubble, you have to Xnd evidence of\nit outside of the mainstream of the kinds of Internet businesses\nthat are being built, sold, and run in 2007.\nIn closing, I’d be the last person to say that I never roll my eyes\nat the next startup that’s doing online wiki-based popularity-']","The presence of a billion people online has significantly impacted traditional forms of media consumption, with many individuals spending more time online and shifting their purchasing habits. This has led to a decline in older services such as newspapers, magazines, television, movie theaters, and print catalogs.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 189, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
4,What is the negative impact of a hyper-controlling manager on the workplace environment?,"['added humor value.]\nWhile I enjoyed Marc’s post on hiring and Xring executives, I\nthink that he unfairly dissed micromanagement.\nHere’s why.\nEveryone knows that the hyper-controlling manager with the\nsevere personality disorder who micromanages every crummy\ndecision is no fun to work for. However, it is wrong to condemn\nthe practice of micromanagement on that basis.\nPart 8: Hiring, managing, promoting, and Dring executives\n65']","The negative impact of a hyper-controlling manager on the workplace environment is that they create a stifling and unpleasant atmosphere for employees, leading to decreased morale, motivation, and productivity. Employees may feel micromanaged, undervalued, and disempowered, which can result in high turnover rates and a lack of creativity and innovation.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 69, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
5,How does the culture of a startup play a role in how the team collectively views challenge and adversity?,"['(In case you were wondering, by the way, the hours do com-\npound the stress.)\nSeventh, it’s really easy for the culture of a startup to go sideways.\nThis combines the Xrst and second items above.\nThis is the emotional rollercoaster wreaking havoc on not just\nyou but your whole company.\nIt takes time for the culture of any company to become “set” —\nfor the team of people who have come together for the Xrst time\nto decide collectively what they’re all about, what they value —\nand how they look at challenge and adversity.\nIn the best case, you get an amazing dynamic of people really']","The culture of a startup plays a significant role in how the team collectively views challenge and adversity. It takes time for the culture of a company to become 'set', for the team to collectively decide what they are all about, what they value, and how they approach challenges and adversity. In the best case scenario, this results in an amazing dynamic of people.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 12, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
6,What are the consequences of not raising enough money for a company?,"['Here’s why you shouldn’t do that:\nWhat are the consequences of not raising enough money?\nNot raising enough money risks the survival of your company,\nfor the following reasons:\nFirst, you may have — and probably will have — unanticipated\nsetbacks within your business.\nMaybe a new product release slips, or you have unexpected\nquality issues, or one of your major customers goes bankrupt, or\na challenging new competitor emerges, or you get sued by a big\ncompany for patent infringement, or you lose a key engineer.\nSecond, the funding window may not be open when you need\nmore money.']","Not raising enough money risks the survival of your company for several reasons. First, you may face unanticipated setbacks within your business, such as delays in product releases, unexpected quality issues, loss of major customers, emergence of new competitors, legal issues like patent infringement or loss of key personnel. Second, the funding window may not be open when you require additional funds.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 47, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
7,How can you prioritize building your product in the early stages of starting a business?,"['This obviously raises the issue of how you’re supposed to do\nthat before you’ve raised money.\nTry to raise angel money, or bootstrap oW of initial customers\nor consulting contracts, or work on it aaer hours while keeping\nyour current job, or quit your job and live oW of credit cards for\na while.\nLots of entrepreneurs have done these things and succeeded —\nand of course, many have failed.\nNobody said this would be easy.\nThe most valuable thing you can do is actually build your prod-\nuct. When in doubt, focus on that.\nThe next most valuable thing you can do is get customers — or,']","The most valuable thing you can do in the early stages of starting a business is to actually build your product. When in doubt, focus on that.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 21, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
8,How does the Influence-from-Mere-Association Tendency affect entrepreneurs and their desire to be liked?,"['One very practical consequence of Liking/Loving Tendency is that\nit acts as a conditioning device that makes the liker or lover tend\n(1) to ignore faults of, and comply with wishes of, the object of his\naWection, (2) to favor people, products, and actions merely associ-\nated with the object of his aWection (as we shall see when we get\nto “InYuence-from-Mere-Association Tendency”), and (3) to distort\nother facts to facilitate love.\nThe application of this principle to entrepreneurs is obvious:\nentrepreneurs want to be liked just like everyone else, and want-']",The answer to given question is not present in context,simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 151, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
9,What is one important step for media companies to take in order to turn around their business?,"['coherent message and strategy.\nThen go dark again and go right back to work.\nOf course, there’s more to being the CEO of a turnaround than\nthese 9 steps. There are a thousand other things you’re going to\nhave to do. But these are the 9 most important.\nTo quote the great Tommy Lasorda: “This fucking job ain’t that\nfucking easy.”\nAppendix for media companies only:\nStep 10: For God’s sake, stop suing your customers.\nPart 1: Turnaround!\n85']","For media companies looking to turn around their business, an important step is to stop suing their customers. This can help improve relationships and reputation, leading to potential business recovery.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 89, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
